t,x,y,z
0,3,0,4
0.001,3.00025,0.309017,4.005
0.002,3.0005,0.587785,4.01
0.003,3.00075,0.809017,4.01501
0.004,3.001,0.951057,4.02002
0.005,3.00125,1,4.02503
0.006,3.0015,0.951057,4.03004
0.007,3.00175,0.809017,4.03505
0.008,3.002,0.587785,4.04007
0.009,3.00225,0.309017,4.04508
0.01,3.0025,-7.65714e-16,4.0501
0.011,3.00275,-0.309017,4.05512
0.012,3.003,-0.587785,4.06015
0.013,3.00325,-0.809017,4.06517
0.014,3.0035,-0.951057,4.0702
0.015,3.00375,-1,4.07523
0.016,3.004,-0.951057,4.08026
0.017,3.00425,-0.809017,4.0853
0.018,3.0045,-0.587785,4.09034
0.019,3.00475,-0.309017,4.09537
0.02,3.005,3.30778e-15,4.10042
0.021,3.00525,0.309017,4.10546
0.022,3.0055,0.587785,4.11051
0.023,3.00575,0.809017,4.11555
0.024,3.006,0.951057,4.1206
0.025,3.00625,1,4.12566
0.026,3.0065,0.951057,4.13071
0.027,3.00675,0.809017,4.13577
0.028,3.007,0.587785,4.14083
0.029,3.00725,0.309017,4.14589
0.03,3.0075,-6.73803e-15,4.15095
0.031,3.00775,-0.309017,4.15602
0.032,3.008,-0.587785,4.16109
0.033,3.00825,-0.809017,4.16616
0.034,3.0085,-0.951057,4.17123
0.035,3.00875,-1,4.17631
0.036,3.009,-0.951057,4.18139
0.037,3.00925,-0.809017,4.18647
0.038,3.0095,-0.587785,4.19155
0.039,3.00975,-0.309017,4.19664
0.04,3.01,8.39193e-15,4.20173
0.041,3.01025,0.309017,4.20682
0.042,3.0105,0.587785,4.21191
0.043,3.01075,0.809017,4.21701
0.044,3.011,0.951057,4.22211
0.045,3.01125,1,4.22721
0.046,3.0115,0.951057,4.23231
0.047,3.01175,0.809017,4.23742
0.048,3.012,0.587785,4.24253
0.049,3.01225,0.309017,4.24764
0.05,3.0125,-1.18222e-14,4.25275
0.051,3.01275,-0.309017,4.25787
0.052,3.013,-0.587785,4.26299
0.053,3.01325,-0.809017,4.26811
0.054,3.0135,-0.951057,4.27323
0.055,3.01375,-1,4.27836
0.056,3.014,-0.951057,4.28349
0.057,3.01425,-0.809017,4.28862
0.058,3.0145,-0.587785,4.29375
0.059,3.01475,-0.309017,4.29889
0.06,3.015,1.34761e-14,4.30403
0.061,3.01525,0.309017,4.30917
0.062,3.0155,0.587785,4.31432
0.063,3.01575,0.809017,4.31947
0.064,3.016,0.951057,4.32462
0.065,3.01625,1,4.32977
0.066,3.0165,0.951057,4.33493
0.067,3.01675,0.809017,4.34009
0.068,3.017,0.587785,4.34525
0.069,3.01725,0.309017,4.35042
0.07,3.0175,-1.69063e-14,4.35559
0.071,3.01775,-0.309017,4.36076
0.072,3.018,-0.587785,4.36593
0.073,3.01825,-0.809017,4.37111
0.074,3.0185,-0.951057,4.37629
0.075,3.01875,-1,4.38147
0.076,3.019,-0.951057,4.38665
0.077,3.01925,-0.809017,4.39184
0.078,3.0195,-0.587785,4.39703
0.079,3.01975,-0.309017,4.40223
0.08,3.02,1.67839e-14,4.40742
0.081,3.02025,0.309017,4.41262
0.082,3.0205,0.587785,4.41783
0.083,3.02075,0.809017,4.42303
0.084,3.021,0.951057,4.42824
0.085,3.02125,1,4.43345
0.086,3.0215,0.951057,4.43867
0.087,3.02175,0.809017,4.44389
0.088,3.022,0.587785,4.44911
0.089,3.02225,0.309017,4.45433
0.09,3.0225,-2.02141e-14,4.45956
0.091,3.02275,-0.309017,4.46479
0.092,3.023,-0.587785,4.47002
0.093,3.02325,-0.809017,4.47526
0.094,3.0235,-0.951057,4.4805
0.095,3.02375,-1,4.48574
0.096,3.024,-0.951057,4.49099
0.097,3.02425,-0.809017,4.49623
0.098,3.0245,-0.587785,4.50149
0.099,3.02475,-0.309017,4.50674
0.1,3.025,2.36443e-14,4.512
0.101,3.02525,0.309017,4.51726
0.102,3.0255,0.587785,4.52253
0.103,3.02575,0.809017,4.52779
0.104,3.026,0.951057,4.53307
0.105,3.02625,1,4.53834
0.106,3.0265,0.951057,4.54362
0.107,3.02675,0.809017,4.5489
0.108,3.027,0.587785,4.55418
0.109,3.02725,0.309017,4.55947
0.11,3.0275,-2.35219e-14,4.56476
0.111,3.02775,-0.309017,4.57006
0.112,3.028,-0.587785,4.57535
0.113,3.02825,-0.809017,4.58065
0.114,3.0285,-0.951057,4.58596
0.115,3.02875,-1,4.59127
0.116,3.029,-0.951057,4.59658
